product_id,product_name,category,unit_price
1,Laptop,Electronics,999.99
2,Smartphone,Electronics,599.99
3,T-shirt,Clothing,19.99
4,Running Shoes,Footwear,89.99
5,Coffee Maker,Appliances,49.99
6,Wireless Earbuds,Electronics,99.99
7,Smartwatch,Electronics,249.99
8,Digital Camera,Electronics,499.99
9,Gaming Console,Electronics,399.99
10,Tablet,Electronics,299.99
11,Jeans,Clothing,59.99
12,Dress,Clothing,99.99
13,Coat,Clothing,149.99
14,Sneakers,Footwear,129.99
15,Boots,Footwear,199.99
16,Backpack,Accessories,39.99
17,Wallet,Accessories,29.99
18,Sunglasses,Accessories,49.99
19,Watch,Accessories,159.99
20,Belt,Accessories,24.99
21,Refrigerator,Appliances,799.99
22,Microwave Oven,Appliances,149.99
23,Washing Machine,Appliances,599.99
24,Dryer,Appliances,499.99
25,Air Conditioner,Appliances,899.99
26,Blender,Kitchen,49.99
27,Toaster,Kitchen,29.99
28,Coffee Grinder,Kitchen,79.99
29,Kitchen Knife Set,Kitchen,99.99
30,Pots and Pans Set,Kitchen,149.99
31,Bookshelf,Furniture,99.99
32,Dining Table,Furniture,299.99
33,Sofa,Furniture,799.99
34,Bed,Furniture,499.99
35,Desk,Furniture,199.99
36,Bicycle,Sports,299.99
37,Running Shoes,Sports,89.99
38,Yoga Mat,Sports,29.99
39,Dumbbells,Sports,49.99
40,Fitness Tracker,Sports,99.99
41,Guitar,Musical Instruments,299.99
42,Piano,Musical Instruments,1999.99
43,Drums,Musical Instruments,999.99
44,Microphone,Musical Instruments,149.99
45,Headphones,Audio,199.99
46,Smart TV,Electronics,699.99
47,Gaming PC,Electronics,1499.99
48,Dishwasher,Appliances,449.99
49,Vacuum Cleaner,Appliances,199.99
50,Treadmill,Sports,799.99
